,tasty,name,price,target,category,coffee
34,묵직한&달콤,고소하고 달콤쌉싸름한 맛,"14,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅', '공정 무역', '직접 무역']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['플썸 시그니처 블렌딩']
35,과일&시나몬,코르디예라 데 푸에고 무산소발효 코스타리카,"26,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['코스타리카', '코르디예라 데 푸에고', '바예 옥시덴탈, 산라몬', '카투라, 카투아이']"
36,화사한&은은한,향긋+상큼+은은한 맛,"26,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '라이트 로스팅', '직접 무역', '공정 무역']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['플썸 시그니처 블렌딩']
37,묵직한&부드러운,부들+묵직+긴 여운의 맛,"20,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '라이트 미디엄 로스팅', '직접 무역', '공정 무역']","['에스프레소머신', '커피메이커', '핸드드립', '블랙 그대로', '우유 넣은 라떼']",['플썸 시그니처 블렌딩']
38,달콤&고소,산뜻+달달+고소(부들)한 맛,"18,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 로스팅', '직접 무역', '공정 무역']","['에스프레소머신', '핸드드립', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['플썸 시그니처 블렌딩']
39,긴여운&화사한,하와이 코나 엑스트라 팬시,"58,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['파나마', '하와이', '하와이', 'Kona Typica']"
40,풍부한&묵직한,자메이카 블루마운틴,"55,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['파나마', '자메이카', '자메이카', 'Blue Mountain']"
41,묵직한&견과류,브라질 내추럴 NY2 17/18,"12,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '미디엄 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['브라질', '모지아나 외, 입고 농장에 따라 다름', '브라질', 'Catuai, Mundo Novo']"
42,부드러운&초콜릿,콜롬비아 수프리모,"13,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['콜롬비아', '후일라 외, 입고 농장에 따라 다름', '콜롬비아', 'Caturra 100%']"
43,쌉쌀&스모키,과테말라 SHB 안티구아/루시아,"13,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '미디엄 로스팅', '공정 무역', '직접 무역']",[],"['과테말라', 'Bourbon, Caturra, Catuai', '산타 로사 외, 입고 농장에 따라 다름']"
44,부드러운&초콜릿,온두라스 SHG,"15,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['온두라스', 'Copan/Komayagua', '온두라스', 'Bourbon, Caturra, Catuai']"
45,과일&깔끔한,니카라과 SHG 핀카 엘 프린시펠 자바 허니,"38,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅', '직접 무역', '공정 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['니카라과', '세고지아 외, 입고 농장에 따라 다름', '니카라과', 'Caturra, Typica']"
46,고소&견과류,코스타리카 SHB,"13,500원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '싱글 오리진', '라이트 미디엄 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['코스타리카', 'Tarazzu', '코스타리카', 'Catuai, Catura']"
47,상큼&과일,케냐AA,"16,500원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '라이트 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['케냐', '니에리 지아칸자 외', '케냐', 'SL28 / Ruiru11']"
48,은은한&상큼,에티오피아 모모라 구지 내추럴 or 워시드 G1,"16,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅', '공정 무역', '직접 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '시다모 샤키소 모모라', '에티오피아', 'Heirloom']"
49,풍부한&과일,에티오피아 예가체프 첼바 내추럴 G1,"17,500원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅', '직접 무역', '공정 무역']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '게디요 예가체프', '에티오피아', 'Heirloom']"
50,달콤&과일,코스타리카 게이샤 허니,"26,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '에어로프레스', '블랙 그대로']","['코스타리카', '산타 테레사', '코스타리카', 'Geisha']"
